Brand,VehicleModel,ManufacturingYear,Type,rating,color,Duty,fuel,CylinderCount,type of gear,capacity,Odometer,#airbags,price
Toyota,Prius,2012.0,Sedan,2.0,Jet Black,0.0,Hybrid,4,r,1.8,104000,8,18817
Volkswagen,Golf Gti,2016.0,Hatchback,3.0,Jet Black,10891.0,Gas,4,automatic,2,113600,8,7527
Lexus,Unknown,2015.0,Jeep,2.0,Unknown,603.0,Hybrid,6,others,3.5,143619,12,13956
Ford,Transit 100Ld,1998.0,Microbus,2.0,Pearl White,0.0,Diesel,4,others,2.5,250000,0,15681
Ssangyong,Actyon,2018.0,Unknown,4.0,Sapphire Blue,880.0,Diesel,4,automatic,1.6,200401,4,43868
Opel,Astra,2008.0,Hatchback,3.0,Jet Black,893.0,Gas,4,others,1.6,200000,6,10976
Unknown,Focus,2012.0,Hatchback,2.0,Unknown,0.0,Unknown,4,manual,2,21000,10,18189
Unknown,My Model Which Is Aqua Is  Best,2012.0,Hatchback,6.0,Unknown,503.0,Unknown,14,unknown,1.5,120800,4,23110
Honda,Insight,2012.0,Hatchback,0.0,Unknown,448.0,Hybrid,4,others,1.3,119000,16,10036
Lexus,Rx 450,2010.0,Jeep,2.0,Unknown,0.0,Hybrid,6,automatic,3.5,311949,12,18655
Toyota,Camry,2013.0,Sedan,6.0,Unknown,779.0,Hybrid,4,automatic,2.5,190549,12,5018
Hyundai,My Model Which Is Sonata Is  Best,2011.0,Sedan,4.0,Unknown,707.0,Other,4,automatic,2,91222,4,7683
Toyota,Camry,2012.0,Sedan,3.0,Unknown,781.0,Hybrid,4,r,2.5,314373,16,18655
Toyota,Highlander,2111.0,Jeep,2.0,Charcoal,0.0,Gas,6,automatic,3.5,112000,10,45473
Bmw,330,2007.0,Coupe,2.0,Metallic,0.0,Gas,8,others,3,157800,8,18655
Mercedesbenz,My Model Which Is E 270 Is  Best,2012.0,Sedan,3.0,Jet Black,0.0,Diesel,5,automatic,2.7 Turbo,210000,10,10976
Toyota,Corolla,2012.0,Sedan,4.0,Sapphire Blue,460.0,Hybrid,4,automatic,1.8,7467,12,6899
Mercedesbenz,E 350,2005.0,Sedan,2.0,Gold,0.0,Other,4,automatic,3.5,279000,16,14426
Ssangyong,Rexton,2013.0,Jeep,0.0,Pearl White,640.0,Unknown,4,automatic,2,110190,4,35043
Honda,Unknown,2012.0,Hatchback,0.0,Metallic,691.0,Gas,4,gear,1.3,100940,4,20372
Unknown,C 250,2013.0,Sedan,3.0,Charcoal,0.0,Gas,4,others,1.8 Turbo,57956,8,29166
Subaru,Forester Llbean,2004.0,Jeep,1.0,Unknown,0.0,Natural Gas,4,others,0,220000,5,11917
Unknown,My Model Which Is Santa Fe Is  Best,2016.0,Jeep,4.0,Pearl White,891.0,Diesel,4,automatic,2,160931,4,39493
Toyota,Camry,2011.0,Sedan,5.0,Metallic,831.0,Gas,4,automatic,2.4,110000,8,13485
Ford,Focus Flexfuel,2012.0,Unknown,5.0,Unknown,0.0,Gas,4,automatic,2,165616,6,16308
Ssangyong,Rexton,1910.0,Jeep,3.0,Jet Black,1099.0,Diesel,14,automatic,2.7,151949,4,24029
Toyota,Camry Hybrid,2013.0,Unknown,2.0,Sapphire Blue,779.0,Hybrid,4,automatic,2.5,119000,12,24775
Nissan,Pathfinder,2006.0,Jeep,6.0,Metallic,1829.0,Diesel,4,manual,2.5 Turbo,160000,8,21326
Toyota,Highlander,2008.0,Unknown,6.0,Pearl White,1750.0,Hybrid,6,automatic,3.3,334414,12,12544
Kia,Optima,2012.0,Sedan,4.0,Pearl White,870.0,Diesel,4,gear,1.7,30098,4,39044
Unknown,Mazda 6,1914.0,Sedan,2.0,Charcoal,0.0,Gas,4,r,2.5,125000,12,24148
Unknown,Unknown,2012.0,Unknown,3.0,Jet Black,1055.0,Diesel,6,unknown,3.5,237158,12,18655
Unknown,Escape,3009.0,Jeep,6.0,Pearl White,1185.0,Hybrid,4,unknown,2.5,193614,0,18655
Daewoo,Unknown,2012.0,Sedan,3.0,Metallic,790.0,Gas,4,others,1.6,91930,4,18655
Mercedesbenz,E 220,1998.0,Sedan,1.0,Sapphire Blue,0.0,Diesel,4,r,2.2,0,4,8781
Subaru,Outback,2012.0,Unknown,5.0,Metallic,1327.0,Gas,4,unknown,2.5,0,12,18655
Kia,My Model Which Is Optima Hybid Is  Best,2013.0,Sedan,4.0,Unknown,0.0,Hybrid,16,others,2.4,105000,6,20385
Nissan,Altima,2012.0,Sedan,2.0,Jet Black,1024.0,Gas,4,unknown,2.5,238342,12,18655
Toyota,Camry,2012.0,Sedan,3.0,Unknown,777.0,Unknown,4,gear,2.5,92800,10,25402
Mercedesbenz,Vito,2001.0,Unknown,3.0,Crimson,0.0,Diesel,4,manual,2.2 Turbo,380000,2,10032
Ford,Fiesta,2012.0,Sedan,5.0,Metallic,629.0,Gas,4,gear,1.6,0,12,18655
Bmw,My Model Which Is 335 Is  Best,2112.0,Sedan,1.0,Pearl White,919.0,Gas,6,automatic,3,82990,7,23521
Audi,Rs7,2012.0,Hatchback,2.0,Pearl White,8810.0,Gas,18,automatic,4,98446,12,18655
Ssangyong,Korando,2012.0,Jeep,2.0,Pearl White,707.0,Diesel,14,r,2,85600,4,24415
Toyota,Prius,2012.0,Hatchback,3.0,Pearl White,586.0,Hybrid,4,automatic,1.8,181000,12,19757
Hyundai,Sonata,2012.0,Sedan,3.0,Tangerine,9235.0,Other,4,automatic,2,571115,4,9252
Toyota,Prius,2006.0,Hatchback,1.0,Crimson,0.0,Unknown,4,r,1.5,174000,6,11604
Toyota,Aqua,2015.0,Hatchback,2.0,Unknown,595.0,Gas,4,automatic,1.5,29000,4,33494
Unknown,Vectra,1997.0,Sedan,3.0,Sand,0.0,Gas,4,unknown,1.6,15000,2,18655
Ssangyong,Rexton,2013.0,Jeep,4.0,Unknown,0.0,Diesel,4,gear,2,126116,4,36808
Bmw,328,2012.0,Sedan,3.0,Charcoal,0.0,Gas,6,automatic,0,120000,8,23521
Bmw,X5,2011.0,Jeep,2.0,Jet Black,1018.0,Gas,16,automatic,0,155200,12,36065
Unknown,Camry,2012.0,Sedan,2.0,Unknown,10394.0,Hybrid,4,automatic,2.5,109798,12,5488
Toyota,Prius,1917.0,Sedan,3.0,Charcoal,0.0,Hybrid,4,others,1.8,80000,12,31361
Chevrolet,My Model Which Is Volt Is  Best,2014.0,Jeep,3.0,Jet Black,0.0,Hybrid,4,automatic,1.4,133195,0,18655
Jeep,Unknown,2012.0,Jeep,0.0,Unknown,1202.0,Unknown,4,automatic,2.4,95334,16,18655
Hyundai,Sonata,2012.0,Sedan,6.0,Metallic,639.0,Unknown,4,others,2,347600,4,10036
Toyota,Highlander,2012.0,Jeep,5.0,Jet Black,8945.0,Gas,4,unknown,0,125605,12,18655
Toyota,Corolla,2012.0,Sedan,8.0,Charcoal,586.0,Gas,4,automatic,1.8,74000,16,18189
Hyundai,Elantra,2012.0,Sedan,7.0,Jet Black,583.0,Gas,14,unknown,1.6,115934,4,20005
Toyota,Highlander,2012.0,Jeep,3.0,Pearl White,1750.0,Hybrid,6,automatic,3.3,334414,12,12544
Toyota,Prius,2006.0,Sedan,4.0,Sapphire Blue,0.0,Hybrid,4,automatic,1.5,300000,7,5018
Unknown,Prius,2010.0,Hatchback,2.0,Pearl White,761.0,Hybrid,4,unknown,1.8,73402,12,18655
Toyota,Prius,2007.0,Hatchback,3.0,Emerald Green,988.0,Hybrid,4,automatic,1.5,0,8,10349
Toyota,Highlander,2012.0,Jeep,2.0,Pearl White,1058.0,Hybrid,6,r,3.5,363059,12,18655
Toyota,Prius C,2012.0,Hatchback,1.0,Pearl White,10503.0,Hybrid,14,r,1.5,208000,6,13485
Subaru,Forester,2003.0,Jeep,2.0,Emerald Green,0.0,Gas,4,others,0,155000,2,12000
Toyota,Prius,2012.0,Unknown,0.0,Sapphire Blue,0.0,Hybrid,4,r,1.5,180000,8,11604
Mercedesbenz,E 350,2012.0,Sedan,2.0,Unknown,1624.0,Unknown,6,unknown,3.5,109139,12,18655
Honda,Fit,2011.0,Hatchback,1.0,Jet Black,0.0,Hybrid,4,automatic,1.3,160000,2,12231
Honda,Odyssey,2011.0,Minivan,4.0,Charcoal,1172.0,Gas,6,others,3.5,86000,8,23207
Mercedesbenz,E 350,2013.0,Coupe,1.0,Unknown,1055.0,Diesel,6,others,0,0,12,18655
Mercedesbenz,Gla 250,1916.0,Jeep,0.0,Pearl White,891.0,Gas,4,others,2,109555,0,8311
Toyota,Aqua,2012.0,Universal,0.0,Unknown,0.0,Hybrid,4,unknown,1.5,52456,4,22075
Toyota,Camry,2012.0,Sedan,6.0,Charcoal,781.0,Hybrid,4,r,2.5,314373,12,18655
Kia,Optima,2012.0,Sedan,2.0,Unknown,638.0,Gas,14,others,2,38305,4,16621
Toyota,Prius,2014.0,Hatchback,5.0,Charcoal,0.0,Hybrid,4,automatic,1.8,274381,12,18655
Hyundai,H1,1912.0,Minivan,5.0,Unknown,781.0,Diesel,4,automatic,2.5,52600,4,17719
Bmw,X5,2007.0,Jeep,0.0,Jet Black,0.0,Unknown,18,automatic,4.8,220000,12,29793
Lexus,Rx 450,2012.0,Unknown,6.0,Charcoal,1399.0,Hybrid,6,automatic,3.5,315270,12,18655
Hyundai,Tucson,2112.0,Jeep,4.0,Metallic,642.0,Diesel,4,automatic,2,132976,4,24267
Hyundai,My Model Which Is Elantra Is  Best,2020.0,Sedan,3.0,Jet Black,1076.0,Gas,14,others,2,261,12,18655
Toyota,Camry,2014.0,Sedan,3.0,Jet Black,9606.0,Hybrid,4,others,2.5,398069,12,18655
Nissan,March,2012.0,Sedan,1.0,Lemon Yellow,0.0,Gas,4,automatic,1.2,0,2,5331
Nissan,March,2013.0,Hatchback,4.0,Unknown,419.0,Gas,4,unknown,1.2,59000,4,16838
Ssangyong,My Model Which Is Actyon Is  Best,2110.0,Jeep,3.0,Jet Black,836.0,Diesel,4,automatic,2,217346,4,16010
Mercedesbenz,My Model Which Is C 250 Is  Best,2012.0,Sedan,2.0,Unknown,0.0,Gas,4,unknown,1.8 Turbo,71000,0,27911
Opel,Zafira,2012.0,Minivan,1.0,Metallic,0.0,Gas,4,r,1.6,160000,2,14113
Toyota,Highlander,2012.0,Jeep,2.0,Pearl White,0.0,Hybrid,6,others,3.3,215000,12,28852
Hyundai,Elantra Gt,2115.0,Unknown,5.0,Charcoal,765.0,Gas,4,automatic,2,73335,8,17249
Toyota,Prius,2005.0,Sedan,4.0,Pearl White,0.0,Gas,4,r,0,0,6,9408
Porsche,Cayenne S,2004.0,Jeep,6.0,Metallic,0.0,Gas,6,others,0,165000,0,11290
Toyota,My Model Which Is Rav 4 Is  Best,2017.0,Jeep,0.0,Unknown,1249.0,Gas,4,automatic,2.5,63000,12,43905
Toyota,Unknown,1997.0,Minivan,2.0,Metallic,4321.0,Gas,4,automatic,2.4,230000,2,18655
Mercedesbenz,Unknown,2016.0,Sedan,2.0,Unknown,0.0,Gas,14,others,2,50552,12,18655
Mazda,616,2008.0,Hatchback,2.0,Charcoal,1246.0,Gas,4,automatic,2.3,254542,7,18655
Bmw,X5,2011.0,Jeep,2.0,Unknown,1018.0,Diesel,4,others,3,207694,0,10036
Hyundai,Sonata,2016.0,Sedan,0.0,Pearl White,891.0,Other,4,automatic,2,227033,4,16308
Toyota,Aqua,2013.0,Hatchback,2.0,Pearl White,502.0,Hybrid,4,others,1.5,105900,4,12121
Mercedesbenz,E 350,2011.0,Sedan,1.0,Unknown,1172.0,Diesel,6,automatic,0,132630,12,18655
Hyundai,Unknown,2012.0,Jeep,3.0,Pearl White,753.0,Hybrid,14,others,2.4,123862,0,18655
Nissan,Tiida,2012.0,Hatchback,1.0,Unknown,0.0,Gas,4,automatic,1.5,111111,0,8311
Unknown,Prius,2012.0,Hatchback,6.0,Charcoal,0.0,Hybrid,4,automatic,1.8,148000,7,16935
Hyundai,Elantra,2019.0,Sedan,4.0,Unknown,1077.0,Gas,4,automatic,2,9898,7,19757
Hyundai,Sonata,2012.0,Sedan,4.0,Pearl White,382.0,Hybrid,4,automatic,2.4,11000,12,17876
Toyota,Camry,2012.0,Sedan,3.0,Metallic,781.0,Unknown,4,gear,2.5,84000,12,20071
Unknown,Prius,2008.0,Unknown,1.0,Sapphire Blue,843.0,Hybrid,4,automatic,1.5,207005,8,12544
Mercedesbenz,C 240,2012.0,Sedan,0.0,Jet Black,0.0,Gas,4,r,2.4,2000,12,10349
Hyundai,Tucson Limited,2016.0,Unknown,4.0,Metallic,730.0,Gas,4,unknown,1.6 Turbo,52294,10,26186
Hyundai,H1,2014.0,Minivan,1.0,Pearl White,777.0,Unknown,4,others,2.5,190000,4,28423
Bmw,Unknown,2012.0,Jeep,4.0,Unknown,0.0,Gas,18,automatic,0,91000,12,43278
Lexus,Unknown,2012.0,Jeep,2.0,Unknown,2151.0,Gas,8,gear,4.7,226000,10,46728
Hyundai,My Model Which Is Sonata Is  Best,2012.0,Sedan,2.0,Unknown,765.0,Other,14,automatic,2,581040,4,9252
Unknown,528,3013.0,Sedan,3.0,Pearl White,640.0,Gas,4,others,2.0 Turbo,82000,12,27598
Lexus,Rx 400,2008.0,Jeep,5.0,Unknown,1850.0,Hybrid,6,automatic,3.5,364523,12,18655
Hyundai,Elantra,2011.0,Jeep,4.0,Jet Black,645.0,Gas,4,automatic,1.8,172502,12,18655
Chevrolet,Captiva,1907.0,Jeep,1.0,Unknown,1282.0,Diesel,4,others,0,79002,4,6272
Ssangyong,Actyon,2016.0,Jeep,1.0,Pearl White,730.0,Gas,4,r,1.6,55234,4,40092
Mercedesbenz,E 350,2014.0,Sedan,4.0,Jet Black,1053.0,Unknown,6,automatic,3.5,153115,12,18655
Honda,Elysion 30,2004.0,Minivan,1.0,Jet Black,0.0,Gas,6,automatic,3,219000,6,7840
Toyota,Unknown,2012.0,Sedan,3.0,Pearl White,1324.0,Unknown,6,automatic,3.3,264877,12,18655
Hyundai,H1 Starixs,2012.0,Minivan,6.0,Jet Black,0.0,Diesel,4,unknown,2.5 Turbo,102000,2,21953
Honda,Unknown,2014.0,Sedan,0.0,Sapphire Blue,501.0,Gas,4,others,1.5,78400,6,21953
Ssangyong,Actyon,2010.0,Sedan,2.0,Unknown,836.0,Diesel,4,automatic,2,233503,4,11807
Hyundai,Santa Fe,2012.0,Jeep,0.0,Unknown,707.0,Diesel,4,automatic,2,143166,4,18688
Toyota,Camry,2012.0,Sedan,4.0,Metallic,0.0,Hybrid,4,r,2.5,40000,12,32929
Bmw,528,2000.0,Unknown,1.0,Jet Black,0.0,Other,4,r,2.8 Turbo,0,6,9400
Mercedesbenz,Unknown,2006.0,Jeep,2.0,Metallic,0.0,Gas,8,automatic,5,216000,16,24462
Mitsubishi,My Model Which Is Delica Is  Best,2012.0,Unknown,0.0,Emerald Green,0.0,Gas,14,gear,2.4,111000,2,18655
Toyota,Unknown,2012.0,Sedan,2.0,Unknown,0.0,Gas,4,gear,1.8,123000,6,18817
Ford,Focus,2012.0,Hatchback,1.0,Pearl White,642.0,Gas,4,others,2,192000,16,15681
Nissan,My Model Which Is Note Is  Best,2014.0,Hatchback,2.0,Unknown,1030.0,Gas,3,automatic,0,125000,2,9722
Mercedesbenz,Unknown,2012.0,Sedan,2.0,Pearl White,1058.0,Gas,6,automatic,3.5,70000,11,15681
Mercedesbenz,Ml 350,2012.0,Jeep,1.0,Pearl White,1172.0,Diesel,6,automatic,3.5,186542,12,18655
Mercedesbenz,E 350,2014.0,Sedan,2.0,Unknown,1053.0,Diesel,6,automatic,0,149486,12,18655
Mercedesbenz,S 320,2000.0,Sedan,5.0,Unknown,0.0,Gas,16,others,3.2,200000,16,18655
Ford,My Model Which Is Fusion Is  Best,2017.0,Sedan,3.0,Gold,784.0,Gas,4,others,1.5,77368,12,18655
Honda,Fit,2003.0,Hatchback,0.0,Metallic,0.0,Gas,4,automatic,1.5,15000,4,18655
Unknown,Orlando,2012.0,Jeep,3.0,Unknown,831.0,Diesel,4,automatic,1.6,109953,4,28043
Hyundai,Tucson,2011.0,Jeep,2.0,Unknown,707.0,Unknown,4,r,2,171340,4,17054
Unknown,Volt,2012.0,Hatchback,3.0,Metallic,259.0,Hybrid,4,others,1.4,112123,0,6586
Toyota,Prius,2012.0,Hatchback,2.0,Pearl White,645.0,Hybrid,14,r,1.8,145000,12,17249
Toyota,Rav 4,2012.0,Jeep,1.0,Pearl White,1249.0,Gas,4,gear,2.5,37000,12,42337
Unknown,Gx 470,2012.0,Jeep,2.0,Pearl White,7545.0,Unknown,8,automatic,4.7,263190,0,18655
Unknown,H1,2010.0,Minivan,2.0,Metallic,11024.0,Diesel,4,unknown,2.5,54963,4,18660
Toyota,Camry,2012.0,Sedan,3.0,Pearl White,781.0,Hybrid,4,automatic,2.5,159379,12,18655
Nissan,Xterra,2005.0,Jeep,2.0,Jet Black,0.0,Gas,6,others,0,118498,6,16621
Kia,Optima,3014.0,Sedan,4.0,Pearl White,0.0,Hybrid,6,automatic,0,21000,12,27911
Chevrolet,Captiva,2013.0,Jeep,1.0,Charcoal,640.0,Diesel,4,automatic,2,118103,4,24302
Honda,Fit,2012.0,Hatchback,0.0,Metallic,9498.0,Gas,4,automatic,1.5,118232,12,18655
Volkswagen,Jetta,2014.0,Sedan,2.0,Jet Black,777.0,Gas,5,automatic,2.5,127000,12,12544
Chevrolet,Aveo,2012.0,Sedan,0.0,Unknown,831.0,Gas,4,gear,1.6,49659,4,26306
Hyundai,H1,2012.0,Minivan,3.0,Metallic,915.0,Diesel,4,r,3,114142,4,31581
Hyundai,Santa Fe,2016.0,Jeep,2.0,Unknown,891.0,Unknown,4,others,2,116365,4,43128
Mazda,Cx7,2012.0,Jeep,1.0,Unknown,0.0,Gas,4,unknown,0,184576,7,18655
Ford,My Model Which Is Transit Is  Best,2012.0,Goods,2.0,Pearl White,0.0,Diesel,4,others,2.2 Turbo,147000,4,34184
Bmw,My Model Which Is X5 Is  Best,2012.0,Jeep,1.0,Pearl White,1481.0,Diesel,16,r,3,98726,12,14269
Nissan,Juke,2017.0,Jeep,4.0,Jet Black,831.0,Gas,4,automatic,1.6 Turbo,54000,10,23207
Ford,Unknown,2014.0,Sedan,2.0,Unknown,333.0,Hybrid,4,automatic,2,186048,0,18655
Hyundai,Tucson,2012.0,Jeep,4.0,Unknown,836.0,Diesel,4,automatic,2,221000,16,23138
Mercedesbenz,Gle 63 Amg,2016.0,Jeep,3.0,Jet Black,2297.0,Gas,4,automatic,5.5,17584,0,6272
Unknown,Sonata,2015.0,Sedan,2.0,Pearl White,765.0,Other,4,automatic,2,311337,4,10976
Kia,My Model Which Is Sorento Is  Best,3004.0,Jeep,2.0,Jet Black,0.0,Other,4,manual,2.4,0,8,10976
Mercedesbenz,My Model Which Is E 350 Is  Best,2012.0,Sedan,2.0,Sapphire Blue,1172.0,Diesel,6,others,3.5,64496,16,13642
Unknown,Prius S,2010.0,Hatchback,2.0,Unknown,0.0,Hybrid,4,gear,0,164000,6,17092
Bmw,520,2012.0,Unknown,0.0,Emerald Green,0.0,Unknown,6,manual,2,278000,16,5645
Toyota,Prius 3,2012.0,Unknown,8.0,Unknown,586.0,Unknown,4,automatic,1.8,132451,8,14113
Hyundai,My Model Which Is Elantra Is  Best,2012.0,Sedan,3.0,Chocolate,810.0,Gas,4,automatic,1.8,133437,12,18655
Toyota,Prius V,1913.0,Unknown,1.0,Unknown,585.0,Hybrid,4,automatic,1.8,178314,12,18655
Hyundai,Elantra,2012.0,Sedan,1.0,Gold,584.0,Unknown,4,unknown,1.8,176000,6,14113
Toyota,Unknown,2013.0,Unknown,5.0,Unknown,0.0,Hybrid,14,automatic,1.8,71000,12,19130
Unknown,My Model Which Is Juke Juke Is  Best,2010.0,Jeep,5.0,Charcoal,0.0,Gas,4,automatic,1.6 Turbo,162309,6,19444
Toyota,Land Cruiser Prado,2008.0,Jeep,6.0,Charcoal,0.0,Other,8,gear,4.7,150000,0,18655
Kia,Optima,2012.0,Unknown,1.0,Metallic,0.0,Gas,14,automatic,2,43618,4,16004
Hyundai,Santa Fe,2012.0,Jeep,2.0,Jet Black,891.0,Diesel,4,automatic,2,194067,4,37633
Opel,Astra,1900.0,Unknown,0.0,Unknown,0.0,Diesel,4,gear,2.0 Turbo,215000,4,7840
Toyota,My Model Which Is Prius Is  Best,2012.0,Hatchback,3.0,Pearl White,585.0,Unknown,4,others,1.8,169301,12,18655
Gmc,Yukon,2019.0,Sedan,2.0,Unknown,3156.0,Gas,8,others,6.2,11325,12,35752
Hyundai,Elantra,2016.0,Sedan,3.0,Metallic,730.0,Other,4,automatic,1.6,74909,4,27504
Lexus,Ls 460,2012.0,Sedan,5.0,Metallic,2108.0,Gas,14,automatic,4.6,217614,4,21608
Mazda,Cx9,2111.0,Sedan,2.0,Jet Black,1234.0,Gas,6,automatic,3.7,134157,12,18655
Toyota,My Model Which Is Prius Is  Best,2008.0,Hatchback,1.0,Gold,843.0,Hybrid,4,automatic,1.5,204000,8,7840
Bmw,My Model Which Is X5 Is  Best,2111.0,Jeep,1.0,Jet Black,1018.0,Unknown,6,automatic,3,332243,0,10349
Mitsubishi,Airtrek,1902.0,Universal,1.0,Charcoal,0.0,Gas,4,automatic,2,136000,2,8154
Toyota,Unknown,2012.0,Jeep,0.0,Sapphire Blue,761.0,Hybrid,4,automatic,1.8,221760,12,18655
Hyundai,Sonata,2015.0,Sedan,0.0,Unknown,765.0,Other,4,automatic,2,510248,4,9252
Mitsubishi,Outlander,2003.0,Universal,4.0,Pearl White,0.0,Other,4,r,2.4,200000,0,10036
Volkswagen,My Model Which Is Passat Is  Best,2117.0,Unknown,1.0,Metallic,0.0,Gas,4,automatic,1.8,27728,8,36110
Hyundai,Elantra,2011.0,Sedan,0.0,Charcoal,645.0,Gas,4,gear,1.8,194674,12,18655
Bmw,My Model Which Is 320 I Is  Best,3004.0,Sedan,5.0,Unknown,0.0,Gas,8,others,2.2,118000,5,10036
Bmw,Unknown,2007.0,Jeep,1.0,Jet Black,0.0,Gas,8,automatic,4.8,210000,8,24148
Toyota,My Model Which Is Camry Is  Best,2014.0,Sedan,3.0,Pearl White,777.0,Gas,4,automatic,2.5,219150,12,12858
Skoda,Octavia,2012.0,Hatchback,1.0,Pearl White,0.0,Gas,4,manual,2,305000,4,7500
Nissan,Tiida Axis,2006.0,Hatchback,2.0,Jet Black,0.0,Gas,14,gear,1.5,139000,6,8467
Chevrolet,Niva,2007.0,Jeep,2.0,Jet Black,0.0,Gas,4,manual,1.7,11000,6,7840
Honda,Civic,2012.0,Sedan,0.0,Pearl White,584.0,Gas,4,others,1.8,80000,4,39559
Lexus,Ct 200H,2011.0,Unknown,1.0,Metallic,9355.0,Hybrid,4,others,1.8,224267,0,18655
Kia,Picanto,2015.0,Sedan,0.0,Unknown,425.0,Gas,3,r,1,22831,4,17249
Honda,My Model Which Is Civic Is  Best,2012.0,Sedan,5.0,Unknown,0.0,Hybrid,4,automatic,1.3,2432000,4,13172
Mercedesbenz,Unknown,2012.0,Sedan,4.0,Jet Black,0.0,Unknown,6,automatic,3.0 Turbo,97500,16,36000
Hyundai,Elantra,2012.0,Sedan,3.0,Unknown,730.0,Gas,4,automatic,1.6,72507,4,20071
Hyundai,Elantra,2118.0,Sedan,2.0,Charcoal,0.0,Gas,4,r,2,17254,12,18655
Jeep,Unknown,2001.0,Jeep,2.0,Jet Black,0.0,Natural Gas,6,automatic,4,60000,4,10000
Volkswagen,Unknown,2018.0,Sedan,6.0,Charcoal,1079.0,Gas,4,r,2.0 Turbo,68800,6,36065
Kia,My Model Which Is Picanto Is  Best,2017.0,Unknown,2.0,Unknown,0.0,Gas,4,others,1.2,94000,1,15524
Volkswagen,Unknown,2012.0,Sedan,3.0,Unknown,0.0,Gas,4,gear,1.8,184000,6,7213
Toyota,Prius,2013.0,Hatchback,5.0,Sapphire Blue,0.0,Hybrid,4,automatic,1.8,134720,6,20385
Bmw,My Model Which Is 318 Is  Best,1995.0,Unknown,1.0,Jet Black,0.0,Gas,6,r,2,0,0,18655
Bmw,X5,2011.0,Sedan,6.0,Jet Black,1451.0,Gas,8,others,0,139363,7,18655
Toyota,Chr,2012.0,Unknown,2.0,Jet Black,1079.0,Gas,4,automatic,2,9280,7,42337
Mazda,616,2018.0,Jeep,2.0,Charcoal,1327.0,Gas,4,others,2.5,21328,12,6586
Suzuki,Unknown,2113.0,Jeep,3.0,Pearl White,640.0,Gas,4,gear,2,250000,8,11604
Toyota,Prius,2013.0,Unknown,5.0,Pearl White,585.0,Hybrid,4,others,1.8,105328,16,18655
Hyundai,H1,2014.0,Minivan,3.0,Charcoal,777.0,Diesel,4,automatic,2.5,122614,4,32979
Unknown,Tucson,2005.0,Jeep,0.0,Unknown,0.0,Diesel,4,manual,2.0 Turbo,200000,0,10663
Hyundai,Sonata,2015.0,Sedan,6.0,Jet Black,441.0,Hybrid,14,r,2.4,261928,16,18655
Ford,Transit,2105.0,Goods,3.0,Pearl White,1673.0,Diesel,14,manual,2.0 Turbo,170000,4,9252
Hyundai,My Model Which Is Tucson Is  Best,2014.0,Jeep,1.0,Unknown,639.0,Diesel,4,r,2,153935,7,29586
Bmw,X5,2012.0,Jeep,2.0,Jet Black,0.0,Diesel,6,automatic,3.0 Turbo,220000,6,42337
Lexus,Gx 460,2010.0,Jeep,0.0,Unknown,1811.0,Gas,8,automatic,4.6,155821,12,26030
Honda,My Model Which Is Fit Is  Best,2011.0,Hatchback,6.0,Pearl White,0.0,Hybrid,4,unknown,1.3,121000,4,11917
Toyota,Aqua,2012.0,Hatchback,3.0,Unknown,502.0,Gas,4,automatic,1.5,73938,4,27375
